epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6572,2.34592,4.84895,0.01114,0.23321,0.30761,0.17837,0.07638,1.76302,3.74786,0.00735,0.00024293,0.00024293,0.00024293
2,32.9284,1.63242,2.5165,0.00675,0.47079,0.49982,0.45817,0.22133,1.68592,2.26109,0.00687,0.000497674,0.000497674,0.000497674
3,43.9005,1.64215,1.92772,0.00689,0.46366,0.58864,0.51693,0.24371,1.7196,2.37652,0.0073,0.000749872,0.000749872,0.000749872
4,54.7331,1.63787,1.75925,0.0069,0.50153,0.53008,0.491,0.22117,2.04504,1.96993,0.00913,0.000999523,0.000999523,0.000999523
5,65.1493,1.66385,1.71248,0.0069,0.35512,0.42444,0.29803,0.14394,1.97051,2.91596,0.00851,0.00124663,0.00124663,0.00124663
6,75.7525,1.66349,1.73718,0.00701,0.51058,0.4669,0.45571,0.19475,1.99755,2.35335,0.00885,0.00139363,0.00139363,0.00139363
7,86.3225,1.64373,1.65348,0.00687,0.46785,0.52423,0.46562,0.219,1.90513,2.27171,0.0081,0.00138656,0.00138656,0.00138656
8,97.203,1.67547,1.60789,0.00703,0.59391,0.56909,0.56566,0.27357,1.83417,2.01185,0.00794,0.00137949,0.00137949,0.00137949
9,107.969,1.60491,1.49223,0.00666,0.47198,0.57277,0.50054,0.21488,2.04053,2.43277,0.00909,0.00137241,0.00137241,0.00137241
10,118.532,1.61759,1.50829,0.00671,0.54421,0.61435,0.57534,0.23221,2.0879,2.09175,0.00936,0.00136534,0.00136534,0.00136534
11,128.956,1.61983,1.5312,0.00676,0.6617,0.60611,0.65688,0.31112,1.77432,1.61986,0.00752,0.00135826,0.00135826,0.00135826
12,139.645,1.61113,1.47204,0.00678,0.54159,0.60773,0.57457,0.28467,1.76652,1.65726,0.00743,0.00135119,0.00135119,0.00135119
13,150.783,1.60192,1.487,0.00668,0.52183,0.56806,0.54178,0.26926,1.81038,1.8854,0.00753,0.00134412,0.00134412,0.00134412
14,161.428,1.58484,1.41509,0.00662,0.50619,0.66328,0.59272,0.29833,1.7408,2.08055,0.00718,0.00133704,0.00133704,0.00133704
15,171.919,1.58611,1.43029,0.0066,0.5898,0.62672,0.61712,0.31688,1.70968,1.72638,0.00714,0.00132997,0.00132997,0.00132997
16,182.443,1.54693,1.37618,0.00648,0.56707,0.64424,0.60022,0.29163,1.81019,1.83345,0.00767,0.0013229,0.0013229,0.0013229
17,193.659,1.58447,1.40073,0.00668,0.60689,0.59733,0.61,0.30949,1.74807,1.70241,0.00721,0.00131582,0.00131582,0.00131582
18,204.369,1.51984,1.32241,0.00626,0.58962,0.6664,0.64102,0.32918,1.6855,1.54019,0.00699,0.00130875,0.00130875,0.00130875
19,214.891,1.53345,1.33753,0.00637,0.52561,0.61352,0.56531,0.27068,1.82718,1.94768,0.00772,0.00130168,0.00130168,0.00130168
20,225.39,1.50402,1.3048,0.00618,0.60966,0.63557,0.64512,0.33572,1.74387,1.70973,0.00731,0.0012946,0.0012946,0.0012946
21,236.415,1.49794,1.312,0.00626,0.63034,0.65866,0.67237,0.35203,1.76467,1.49613,0.00743,0.00128753,0.00128753,0.00128753
22,247.42,1.50284,1.28872,0.0062,0.59929,0.66293,0.65814,0.33758,1.78464,1.69044,0.00749,0.00128046,0.00128046,0.00128046
23,257.875,1.51303,1.29146,0.00624,0.57314,0.61227,0.61981,0.32995,1.74799,1.85453,0.00722,0.00127338,0.00127338,0.00127338
24,268.434,1.49438,1.25772,0.00613,0.67921,0.70969,0.73908,0.41163,1.6001,1.27828,0.0066,0.00126631,0.00126631,0.00126631
25,279.124,1.48628,1.25925,0.00619,0.58728,0.65074,0.6449,0.3386,1.68023,1.57088,0.00689,0.00125923,0.00125923,0.00125923
26,289.994,1.50108,1.24644,0.00616,0.53809,0.68392,0.60401,0.30977,1.75895,1.84833,0.00724,0.00125216,0.00125216,0.00125216
27,300.885,1.45558,1.19649,0.00599,0.62265,0.68422,0.68567,0.36962,1.69749,1.59295,0.00691,0.00124509,0.00124509,0.00124509
28,312.029,1.48279,1.20167,0.00606,0.59705,0.70705,0.6739,0.3351,1.77967,1.44116,0.00751,0.00123801,0.00123801,0.00123801
29,322.428,1.45364,1.18037,0.006,0.48665,0.5408,0.49691,0.26151,1.68416,1.85851,0.0069,0.00123094,0.00123094,0.00123094
30,332.856,1.44089,1.1733,0.0059,0.60494,0.64906,0.65298,0.35216,1.62798,1.50649,0.00665,0.00122387,0.00122387,0.00122387
31,343.325,1.45868,1.2174,0.00603,0.57405,0.68231,0.63827,0.35603,1.65822,1.64496,0.00691,0.00121679,0.00121679,0.00121679
32,354.447,1.44166,1.18529,0.00585,0.51471,0.66406,0.56979,0.29437,1.75365,1.5877,0.00725,0.00120972,0.00120972,0.00120972
33,365.166,1.42659,1.19887,0.0059,0.56873,0.65398,0.61485,0.33593,1.65422,1.63836,0.00672,0.00120265,0.00120265,0.00120265
34,375.521,1.4252,1.14824,0.00587,0.60016,0.67505,0.64982,0.35086,1.62934,1.57913,0.00672,0.00119557,0.00119557,0.00119557
35,386.111,1.44157,1.18031,0.00594,0.61232,0.63642,0.64769,0.34296,1.75785,1.68244,0.00723,0.0011885,0.0011885,0.0011885
